Source,Target,Type,Id,Label,Weight
2100,58,Undirected,6722,0,5
2100,79,Undirected,6723,0,1
2100,370,Undirected,6724,0,1
2100,371,Undirected,6725,0,1
2100,1264,Undirected,6726,0,1
2100,1322,Undirected,6727,0,1
2100,1323,Undirected,6728,0,6
2100,1325,Undirected,6729,0,1
2100,1327,Undirected,6730,0,1
2109,45,Undirected,6774,0,2
2109,58,Undirected,6775,0,7
2109,79,Undirected,6776,0,3
2109,358,Undirected,6777,0,1
2109,375,Undirected,6778,0,1
2109,379,Undirected,6779,0,1
2109,1311,Undirected,6780,0,1
2109,1312,Undirected,6781,0,1
2109,1314,Undirected,6782,0,1
2109,1323,Undirected,6783,0,8
2109,1332,Undirected,6784,0,1
2112,58,Undirected,6794,0,1
2112,375,Undirected,6795,0,1
2112,379,Undirected,6796,0,1
2112,1323,Undirected,6797,0,1
2114,45,Undirected,6802,0,32
2114,58,Undirected,6803,0,73
2114,79,Undirected,6804,0,19
2114,101,Undirected,6805,0,2
2114,117,Undirected,6806,0,2
2114,122,Undirected,6807,0,1
2114,359,Undirected,6808,0,1
2114,360,Undirected,6809,0,1
2114,361,Undirected,6810,0,1
2114,363,Undirected,6811,0,1
2114,364,Undirected,6812,0,1
2114,365,Undirected,6813,0,1
2114,366,Undirected,6814,0,1
2114,367,Undirected,6815,0,1
2114,368,Undirected,6816,0,1
2114,369,Undirected,6817,0,2
2114,370,Undirected,6818,0,1
2114,371,Undirected,6819,0,1
2114,372,Undirected,6820,0,1
2114,374,Undirected,6821,0,1
2114,375,Undirected,6822,0,2
2114,376,Undirected,6823,0,1
2114,377,Undirected,6824,0,1
2114,379,Undirected,6825,0,2
2114,381,Undirected,6826,0,1
2114,534,Undirected,6827,0,4
2114,573,Undirected,6828,0,5
2114,577,Undirected,6829,0,1
2114,580,Undirected,6830,0,1
2114,624,Undirected,6831,0,2
2114,1140,Undirected,6832,0,2
2114,1143,Undirected,6833,0,2
2114,1205,Undirected,6834,0,1
2114,1264,Undirected,6835,0,9
2114,1310,Undirected,6836,0,1
2114,1312,Undirected,6837,0,3
2114,1313,Undirected,6838,0,2
2114,1314,Undirected,6839,0,7
2114,1315,Undirected,6840,0,2
2114,1318,Undirected,6841,0,1
2114,1319,Undirected,6842,0,1
2114,1320,Undirected,6843,0,4
2114,1322,Undirected,6844,0,1
2114,1323,Undirected,6845,0,80
2114,1324,Undirected,6846,0,1
2114,1325,Undirected,6847,0,1
2114,1327,Undirected,6848,0,1
2114,1330,Undirected,6850,0,14
2114,1333,Undirected,6851,0,1
2114,1495,Undirected,6852,0,1
2114,1513,Undirected,6853,0,2
2114,1782,Undirected,6854,0,1
2114,1952,Undirected,6855,0,1
2114,2085,Undirected,6856,0,1
2114,2087,Undirected,6857,0,1
2114,2088,Undirected,6858,0,2
2114,2089,Undirected,6859,0,1
2114,2090,Undirected,6860,0,1
2114,2091,Undirected,6861,0,1
2114,2092,Undirected,6862,0,2
2114,2093,Undirected,6863,0,1
2114,2094,Undirected,6864,0,1
2114,2095,Undirected,6865,0,5
2114,2096,Undirected,6866,0,1
2114,2097,Undirected,6867,0,1
2114,2099,Undirected,6868,0,2
2114,2100,Undirected,6869,0,5
2114,2103,Undirected,6870,0,2
2114,2104,Undirected,6871,0,1
2114,2105,Undirected,6872,0,2
2114,2107,Undirected,6873,0,2
2114,2108,Undirected,6874,0,1
2114,2109,Undirected,6875,0,5
2114,2110,Undirected,6876,0,1
2115,58,Undirected,6879,0,4
2115,137,Undirected,6880,0,1
2115,375,Undirected,6881,0,1
2115,379,Undirected,6882,0,1
2115,380,Undirected,6883,0,1
2115,1323,Undirected,6884,0,4
2115,2112,Undirected,6885,0,1
2122,1,Undirected,6920,0,1
2122,6,Undirected,6921,0,1
2122,19,Undirected,6922,0,1
2122,45,Undirected,6923,0,4
2122,50,Undirected,6924,0,2
2122,51,Undirected,6925,0,1
2122,58,Undirected,6926,0,5
2122,79,Undirected,6927,0,5
2122,273,Undirected,6928,0,2
2122,488,Undirected,6929,0,4
2122,501,Undirected,6930,0,1
2122,504,Undirected,6931,0,2
2122,534,Undirected,6932,0,1
2122,555,Undirected,6933,0,1
2122,574,Undirected,6934,0,1
2122,1149,Undirected,6935,0,1
2122,1242,Undirected,6936,0,2
2122,1264,Undirected,6937,0,3
2122,1337,Undirected,6938,0,1
2122,1420,Undirected,6939,0,2
2122,1423,Undirected,6940,0,3
2122,1433,Undirected,6941,0,1
2122,1437,Undirected,6942,0,7
2122,1513,Undirected,6943,0,3
2124,389,Undirected,6952,0,1
2124,1337,Undirected,6953,0,1
2124,1343,Undirected,6954,0,1
2127,1,Undirected,6963,0,1
2127,166,Undirected,6964,0,1
2127,174,Undirected,6965,0,1
2127,255,Undirected,6966,0,1
2127,391,Undirected,6967,0,2
2127,661,Undirected,6968,0,1
2127,1166,Undirected,6969,0,1
2127,1337,Undirected,6970,0,2
2127,1345,Undirected,6971,0,1
2127,1423,Undirected,6972,0,2
2127,1513,Undirected,6973,0,1
2132,19,Undirected,6997,0,3
2132,58,Undirected,6998,0,3
2132,79,Undirected,6999,0,3
2132,389,Undirected,7000,0,1
2132,404,Undirected,7001,0,3
2132,1291,Undirected,7002,0,1
2132,1337,Undirected,7003,0,5
2132,1343,Undirected,7004,0,1
2132,1437,Undirected,7005,0,1
2132,2124,Undirected,7006,0,1
2135,1,Undirected,7015,0,4
2135,392,Undirected,7016,0,4
2135,408,Undirected,7017,0,4
2135,661,Undirected,7018,0,4
2135,1337,Undirected,7019,0,4
2135,1355,Undirected,7020,0,4
2141,1,Undirected,7055,0,2
2141,212,Undirected,7056,0,2
2141,218,Undirected,7057,0,2
2141,414,Undirected,7058,0,1
2141,661,Undirected,7059,0,1
2141,715,Undirected,7060,0,1
2141,1337,Undirected,7061,0,2
2141,1359,Undirected,7062,0,1
2141,1746,Undirected,7063,0,2
2145,1,Undirected,7087,0,100
2145,10,Undirected,7088,0,3
2145,14,Undirected,7089,0,1
2145,18,Undirected,7090,0,1
2145,31,Undirected,7091,0,1
2145,82,Undirected,7092,0,1
2145,133,Undirected,7093,0,1
2145,173,Undirected,7094,0,1
2145,174,Undirected,7095,0,1
2145,182,Undirected,7096,0,1
2145,194,Undirected,7097,0,1
2145,249,Undirected,7098,0,1
2145,332,Undirected,7099,0,2
2145,333,Undirected,7100,0,2
2145,339,Undirected,7101,0,1
2145,344,Undirected,7102,0,1
2145,380,Undirected,7103,0,1
2145,420,Undirected,7104,0,1
2145,422,Undirected,7106,0,1
2145,423,Undirected,7107,0,1
2145,424,Undirected,7108,0,1
2145,425,Undirected,7109,0,1
2145,426,Undirected,7110,0,1
2145,427,Undirected,7111,0,1
2145,428,Undirected,7112,0,1
2145,429,Undirected,7113,0,1
2145,431,Undirected,7115,0,1
2145,432,Undirected,7116,0,1
2145,433,Undirected,7117,0,2
2145,434,Undirected,7118,0,1
2145,435,Undirected,7119,0,1
2145,436,Undirected,7120,0,1
2145,437,Undirected,7121,0,1
2145,438,Undirected,7122,0,1
2145,439,Undirected,7123,0,1
2145,440,Undirected,7124,0,1
2145,441,Undirected,7125,0,1
2145,442,Undirected,7126,0,1
2145,443,Undirected,7127,0,1
2145,444,Undirected,7128,0,1
2145,445,Undirected,7129,0,1
2145,446,Undirected,7130,0,1
2145,447,Undirected,7131,0,1
2145,448,Undirected,7132,0,1
2145,449,Undirected,7133,0,1
2145,450,Undirected,7134,0,1
2145,451,Undirected,7135,0,1
2145,452,Undirected,7136,0,1
2145,453,Undirected,7137,0,1
2145,454,Undirected,7138,0,1
2145,455,Undirected,7139,0,1
2145,456,Undirected,7140,0,1
2145,457,Undirected,7141,0,1
2145,458,Undirected,7142,0,1
2145,459,Undirected,7143,0,1
2145,460,Undirected,7144,0,1
2145,461,Undirected,7145,0,1
2145,462,Undirected,7146,0,2
2145,463,Undirected,7147,0,2
2145,464,Undirected,7148,0,1
2145,465,Undirected,7149,0,1
2145,466,Undirected,7150,0,1
2145,467,Undirected,7151,0,1
2145,469,Undirected,7153,0,1
2145,470,Undirected,7154,0,1
2145,471,Undirected,7155,0,1
2145,472,Undirected,7156,0,1
2145,473,Undirected,7157,0,1
2145,474,Undirected,7158,0,2
2145,475,Undirected,7159,0,1
2145,476,Undirected,7160,0,1
2145,477,Undirected,7161,0,1
2145,479,Undirected,7163,0,1
2145,480,Undirected,7164,0,1
2145,654,Undirected,7165,0,1
2145,661,Undirected,7166,0,99
2145,761,Undirected,7167,0,1
2145,936,Undirected,7168,0,1
2145,937,Undirected,7169,0,1
2145,1076,Undirected,7170,0,1
2145,1115,Undirected,7171,0,1
2145,1171,Undirected,7172,0,2
2145,1232,Undirected,7173,0,1
2145,1280,Undirected,7174,0,1
2145,1284,Undirected,7175,0,11
2145,1306,Undirected,7176,0,1
2145,1312,Undirected,7177,0,2
2145,1367,Undirected,7178,0,1
2145,1368,Undirected,7179,0,1
2145,1369,Undirected,7180,0,1
2145,1370,Undirected,7181,0,1
2145,1371,Undirected,7182,0,1
2145,1372,Undirected,7183,0,1
2145,1373,Undirected,7184,0,1
2145,1374,Undirected,7185,0,1
2145,1375,Undirected,7186,0,1
2145,1376,Undirected,7187,0,1
2145,1377,Undirected,7188,0,2
2145,1378,Undirected,7189,0,1
2145,1379,Undirected,7190,0,1
2145,1382,Undirected,7193,0,1
2145,1383,Undirected,7194,0,1
2145,1384,Undirected,7195,0,1
2145,1385,Undirected,7196,0,1
2145,1386,Undirected,7197,0,1
2145,1387,Undirected,7198,0,1
2145,1388,Undirected,7199,0,1
2145,1389,Undirected,7200,0,1
2145,1390,Undirected,7201,0,1
2145,1391,Undirected,7202,0,1
2145,1393,Undirected,7204,0,1
2145,1394,Undirected,7205,0,1
2145,1395,Undirected,7206,0,1
2145,1398,Undirected,7209,0,1
2145,1400,Undirected,7211,0,1
2145,1401,Undirected,7212,0,1
2145,1402,Undirected,7213,0,1
2145,1403,Undirected,7214,0,1
2145,1404,Undirected,7215,0,1
2145,1405,Undirected,7216,0,1
2145,1408,Undirected,7219,0,1
2145,1410,Undirected,7221,0,3
2145,1411,Undirected,7222,0,1
2145,1412,Undirected,7223,0,1
2145,1413,Undirected,7224,0,1
2145,1415,Undirected,7226,0,1
2145,1417,Undirected,7228,0,1
2145,1423,Undirected,7229,0,3
2145,1512,Undirected,7230,0,1
2145,1513,Undirected,7231,0,1
2145,1774,Undirected,7232,0,1
2145,1792,Undirected,7233,0,5
2145,1793,Undirected,7234,0,1
2145,2064,Undirected,7235,0,2
2148,1,Undirected,7255,0,1
2148,82,Undirected,7256,0,1
2148,661,Undirected,7257,0,1
2148,1370,Undirected,7258,0,1
2148,2145,Undirected,7259,0,1
2152,428,Undirected,7277,0,1
2152,661,Undirected,7278,0,1
2152,1375,Undirected,7279,0,1
2152,1423,Undirected,7280,0,1
2152,2145,Undirected,7281,0,1
2162,1,Undirected,7333,0,1
2162,661,Undirected,7334,0,1
2162,1284,Undirected,7335,0,1
2162,1387,Undirected,7336,0,1
2162,2145,Undirected,7337,0,1
2172,1,Undirected,7393,0,3
2172,443,Undirected,7394,0,1
2172,457,Undirected,7395,0,1
2172,661,Undirected,7396,0,3
2172,1284,Undirected,7397,0,1
2172,1387,Undirected,7398,0,1
2172,2145,Undirected,7399,0,3
2172,2162,Undirected,7400,0,1
2172,2164,Undirected,7401,0,1
2175,1,Undirected,7412,0,2
2175,461,Undirected,7413,0,1
2175,462,Undirected,7414,0,2
2175,661,Undirected,7415,0,1
2175,2145,Undirected,7416,0,2
2177,1,Undirected,7426,0,1
2177,465,Undirected,7427,0,1
2177,661,Undirected,7428,0,1
2177,1403,Undirected,7429,0,1
2177,2145,Undirected,7430,0,1
2179,1,Undirected,7442,0,1
2179,471,Undirected,7443,0,1
2179,661,Undirected,7444,0,1
2179,1792,Undirected,7445,0,1
2179,2145,Undirected,7446,0,1
2180,1,Undirected,7448,0,1
