Id,Label,name,ave_view,ave_comment,ave_mylist,ave_starttime,end,ave_length,Points,training,modify_probability,Time Interval,Modularity Class
2780,2780,ヒ?_,31603.0,574.0,154.0,2010/12/4 0:00,2015/10/20 0:00,342.5,34476.80929,0,0.953979035,"<[1.2913884E12, 1.4452668E12]>",14
2704,2704,?E???人,67873.58333,803.0,360.7222222,2011/4/4 0:00,2015/10/20 0:00,234.0,74078.07665,0,0.511249832,"<[1.3018428E12, 1.4452668E12]>",14
5794,5794,猫マグロ,256413.6667,18455.33333,553.3333333,2010/11/1 0:00,2015/10/20 0:00,1333.0,281932.3562,1,0.0,"<[1.2885372E12, 1.4452668E12]>",18
2369,2369,投稿老E??メン?,32240.49254,1214.970149,157.1044776,2010/9/18 0:00,2015/10/20 0:00,543.3880597,35768.11317,0,0.511249832,"<[1.2847356E12, 1.4452668E12]>",7
3373,3373,スーパ?ドンキーコング,24221.0,635.0,335.0,2010/3/14 0:00,2015/10/20 0:00,564.0,29864.99329,0,0.672106918,"<[1.2684924E12, 1.4452668E12]>",18
2665,2665,縛りプレイ,8597.368421,342.9473684,61.0,2011/6/25 0:00,2015/10/20 0:00,913.8421053,9842.2496,0,0.516591328,"<[1.3089276E12, 1.4452668E12]>",18
2179,2179,タイトルに偽り無?,11705.0,497.0,56.0,2011/5/14 0:00,2015/10/20 0:00,1632.0,13021.84916,0,0.994927888,"<[1.3052988E12, 1.4452668E12]>",18
1792,1792,フリーゲー?_,8596.416667,494.3333333,42.25,2011/7/6 0:00,2015/10/20 0:00,915.1666667,9697.743683,0,0.511434289,"<[1.309878E12, 1.4452668E12]>",18
5799,5799,安?フラグ回収?,15036.0,795.0,54.0,2010/11/17 0:00,2015/10/20 0:00,1295.0,16601.21246,0,0.970919724,"<[1.2899196E12, 1.4452668E12]>",18
6206,6206,阿求UVのパラノイアTRPG,112118.0,2213.0,191.0,2012/10/22 0:00,2015/10/20 0:00,856.0,117153.2364,1,0.0,"<[1.3508316E12, 1.4452668E12]>",18
